media_outlets,counts_antonio,counts_rio,counts_catarina,counts_jeronimo,counts_francisco,counts_ines,counts_andre,counts_cotrim,counts_rui
ANTENA 1,0,0,0,0,0,0,0,0,0
CM TV,6,2,0,1,0,0,3,0,0
CNN Portugal,39,30,16,4,6,10,29,4,19
Correio da Manhã,9,3,1,1,1,2,7,0,3
Diário de Notícias,10,4,7,2,0,1,2,5,4
ECO,7,4,2,0,0,0,2,0,0
Expresso,15,14,10,0,4,6,15,2,9
Jornal de Negócios,4,3,0,0,0,0,3,0,0
Jornal de Notícias,13,6,4,0,2,1,4,1,4
Jornal Económico,14,9,5,4,0,1,6,0,4
Observador,31,35,33,14,2,7,27,7,9
Público,12,14,7,5,0,1,8,1,3
Rádio Observador,5,3,4,0,0,1,5,0,0
RTP,1,1,1,0,1,1,2,0,0
RTP Notícias,16,7,8,2,0,1,9,7,3
RTP1,2,2,0,0,0,0,2,0,1
Semanário SOL,9,5,5,1,1,0,3,0,2
SIC,0,2,2,0,0,0,1,0,1
SIC Notícias,24,15,21,9,3,4,13,7,5
TSF,0,0,0,0,0,0,0,0,0
TVI,9,3,2,1,0,0,4,0,0
Renascença,14,9,4,2,0,0,7,0,3
Rádio Comercial,0,0,0,0,0,0,0,0,0
Agência Lusa,2,2,3,2,0,0,0,0,0
SÁBADO,8,10,6,1,0,3,9,2,2
VISÃO,0,0,0,0,0,0,0,0,0